Date,Total Sales,Transactions,Total Revenue
2024-01-01,120,15,"$1800"
2024-01-02,150,18,"$2200"
2024-01-03,110,14,"$1500"
2024-01-04,95,10,"$1000"
2024-01-05,180,20,"$2500"
2024-01-06,210,22,"$3000"
2024-01-07,130,16,"$1700"
2024-01-08,200,25,"$3500"
2024-01-09,170,20,"$2400"
2024-01-10,140,15,"$1900"
2024-01-11,165,18,"$2300"
2024-01-12,190,21,"$2700"
2024-01-13,185,19,"$2600"
2024-01-14,120,12,"$1500"
2024-01-15,145,17,"$2000"
2024-01-16,135,16,"$1900"
2024-01-17,160,18,"$2200"
2024-01-18,175,20,"$2400"
2024-01-19,155,17,"$2100"
2024-01-20,125,13,"$1600"