Product Name,SKU/ID,Current Quantity,Minimum Threshold,Overstock Limit,Alert Status,Last Restocked,Next Restock Due,Supplier
Paracetamol 500mg,SKU001,120,50,200,Normal,2024-11-15,2024-12-15,Supplier A
Amoxicillin 250mg,SKU002,30,50,200,Low Stock,2024-11-10,2024-11-28,Supplier B
Cetirizine 10mg,SKU003,75,30,150,Normal,2024-11-18,2024-12-05,Supplier A
Ibuprofen 200mg,SKU004,25,40,100,Low Stock,2024-11-12,2024-11-30,Supplier C
Vitamin C 500mg,SKU005,250,100,300,Overstock,2024-11-01,2025-01-01,Supplier D
Aspirin 75mg,SKU006,50,30,150,Normal,2024-11-16,2024-12-10,Supplier A
Multivitamin Tablets,SKU007,80,20,100,Normal,2024-11-15,2024-12-15,Supplier E
Cough Syrup 100ml,SKU008,20,50,120,Low Stock,2024-11-10,2024-11-28,Supplier F
Antacid Tablets,SKU009,300,100,400,Overstock,2024-11-01,2024-12-01,Supplier B
Loratadine 10mg,SKU010,60,30,150,Normal,2024-11-18,2024-12-05,Supplier A
Amoxicillin Syrup,SKU011,15,25,100,Low Stock,2024-11-05,2024-11-25,Supplier C
Antihistamine Cream,SKU012,200,50,250,Overstock,2024-11-01,2024-12-20,Supplier D
Zinc Supplements,SKU013,100,40,150,Normal,2024-11-10,2024-12-01,Supplier E
Calcium Tablets,SKU014,90,50,200,Normal,2024-11-12,2024-12-05,Supplier F
Omega-3 Capsules,SKU015,200,75,300,Normal,2024-11-01,2024-12-01,Supplier A
Pain Relief Gel,SKU016,45,20,80,Normal,2024-11-20,2024-12-10,Supplier B
Anti-Fungal Cream,SKU017,10,30,100,Low Stock,2024-11-05,2024-11-25,Supplier C
Vitamin D 1000IU,SKU018,500,100,600,Overstock,2024-11-01,2025-01-01,Supplier D
Saline Nasal Spray,SKU019,150,50,200,Normal,2024-11-15,2024-12-15,Supplier E
Glucose Powder 1kg,SKU020,60,20,100,Normal,2024-11-18,2024-12-05,Supplier F